Name,EPP_Match,CBST,CLIK,Signal
AA,42,14,8,27.8
BA,44,12,9,28.8
CA,32,31,11,35.2
DA,20,31,13,34
EA,27,54,13,45.3
FA,80,10,13,43.6
GA,71,41,14,54.5
HA,48,14,14,36.8
IA,33,96,14,65.1
JA,54,47,15,53
KA,68,68,15,65.6
LA,83,54,15,64.5
MA,48,68,15,59.6
NA,54,82,15,67
OA,21,12,16,30.3
PA,26,68,16,54.2
QA,41,75,16,61.5
RA,60,60,16,61.2
SA,49,24,16,43.5
TA,36,60,16,54
UA,50,47,16,53
VA,43,82,16,64.9
WA,59,31,16,49.3
XA,55,68,16,62.9
YA,45,24,17,43.5
ZA,43,96,17,71.7
AB,71,60,17,65.7
BB,81,41,17,61.1
CB,46,68,17,61.4
DB,63,96,17,77.7
EB,49,54,17,56.7
FB,52,47,17,54.8
GB,34,47,17,49.4
HB,7,90,17,58.5
IB,44,68,17,60.8
JB,58,60,17,61.8
KB,37,68,17,58.7
LB,58,82,17,70.6
MB,79,17,17,50.9
NB,29,96,17,67.5
OB,33,68,18,58.7
PB,70,82,18,75.4
QB,36,20,18,40.4
RB,51,60,18,60.9
SB,85,75,18,77.1
TB,71,96,18,81.3
UB,43,31,18,46.9
VB,64,54,18,62.4
WB,48,82,18,68.8
XB,67,31,18,54.1
YB,80,82,18,78.4
ZB,69,75,18,72.3
AC,25,96,18,67.5
BC,48,90,18,72
CC,47,68,18,62.9
DC,32,82,18,64
EC,59,96,19,78.9
FC,89,60,19,73.5
GC,55,14,19,44.9
HC,25,90,19,66.3
IC,36,75,19,63.6
JC,39,96,19,72.9
KC,23,96,19,68.1
LC,26,75,19,60.6
MC,35,82,19,66.1
NC,50,41,19,54.2
OC,27,75,19,60.9
PC,52,90,19,74.4
QC,25,96,19,68.7
RC,18,90,19,64.2
SC,18,82,19,61
TC,56,96,19,78
UC,46,90,19,72.6
VC,25,17,19,37.1
WC,64,31,19,54.4
XC,33,96,19,71.1
YC,23,90,19,65.7
ZC,65,14,19,47.9
AD,53,96,20,78.3
BD,53,54,20,61.5
CD,56,82,20,73.6
DD,26,96,20,70.2
ED,55,90,20,76.5
FD,40,41,20,52.4
GD,19,60,20,53.7
HD,22,75,20,60.6
ID,21,75,20,60.3
JD,42,75,20,66.6
KD,21,90,20,66.3
LD,48,82,20,71.2
MD,49,90,21,75.9
ND,18,82,21,63.4
OD,20,75,21,61.2
PD,57,90,21,78.3
QD,67,96,21,83.7
RD,90,60,21,76.2
SD,65,54,21,66.3
TD,55,90,22,78.9
UD,52,41,22,58.4
VD,46,68,22,67.4
WD,30,96,22,73.8
XD,70,36,22,61.8
YD,57,19,22,51.1
ZD,43,60,23,64.5
AE,52,90,23,79.2
BE,51,41,23,59.3
CE,83,82,23,85.3
DE,37,75,23,68.7
EE,38,68,23,66.2
FE,76,96,23,88.8
GE,48,90,23,78
HE,52,68,23,70.4
IE,55,96,23,82.5
JE,49,82,24,76.3
KE,36,96,24,78
LE,52,96,24,82.8
ME,8,75,24,61.2
NE,57,96,24,84.3
OE,18,90,24,70.2
PE,55,75,24,75.3
